,lema_verbo_web,classe_verbo_web,aspecto_lexical,papel_tematico,estrutura_sintatica,exemplo_verbo_web
1168,Privatizar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O capital estrangeiro privatizou a educação./ O presidente privatizou a educação para gerar lucros.
1169,Profissionalizar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A marquetagem política profissionalizou as campanhas eleitorais./ Os candidatos profissionalizaram as campanhas eleitorais para se reelegerem.
1170,Prolongar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A demora do diagnóstico prolongou a estadia do paciente no hospital./ O médico prolongou a estadia do paciente no hospital para ele se recuperar.
1171,Prosear,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),As duas senhoras proseavam na calçada.
1172,Protestar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),A população protestava na praça.
1173,Prover,Causação: verbos de mudança de estado de posse,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente, (Instrumento)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),A medida do governador proveu o poder público com instrumentos legais./ O governador proveu o poder público com instrumentos legais.
1174,Pular,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),Os meninos pulavam constantemente.
1175,Pulverizar 1,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O forte raio solar pulverizou o meteorito./ O astronauta pulverizou o meteorito intencionalmente.
1176,Pulverizar 2,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),O jardineiro pulverizou inseticida nas plantas.
1177,Purificar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A filtragem purificou a água./ O químico purificou a água para torná-la potável.
1178,Qualificar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O curso qualificou os operários./ O patrão qualificou os operários para obter mais lucro.
1179,Quebrar 1,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O grito da soprano quebrou a taça de cristal./ A soprano quebrou a taça de cristal intencionalmente.
1180,Quebrar 2,Culminação: verbos de mudança de estado,- Aspecto lexical básico: achievement,- Estrutura de papéis temáticos: {Paciente},- Estrutura sintática básica: [SN V] (verbo intransitivo),A cooperativa de crédito quebrou.
1181,Queimar 1,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A chama da fornalha queimou a folha de papel/ O menino queimou a folha de papel intencionalmente.
1182,Queimar 2,Culminação: verbos de mudança de estado,- Aspecto lexical básico: achievement,- Estrutura de papéis temáticos: {Paciente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O computador queimou.
1183,Queixar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O pobre homem queixava para valer.
1184,Querer,Estado: verbos psicológicos,- Aspecto lexical básico: estado,"- Estrutura de papéis temáticos: {Experienciador, Objeto Estativo}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),A jovem queria somente a fortuna do noivo.
1185,Quietar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O canto dos grilos quietou o garoto./ A mãe quietou o garoto para poder estudar.
1186,Rabiscar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O menino travesso rabiscou a geladeira.
1187,Rachar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A pancada rachou a parede./ O pedreiro rachou a parede intencionalmente.
1188,Radicalizar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A propaganda extremista radicalizou a revolução./ O líder radicalizou a revolução para obter uma resposta do governo.
1189,Ralar 1,Atividade: verbos de contato mediado por instrumento,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A cozinheira ralou o coco.
1190,Ralar 2,Culminação: verbos de mudança de estado,- Aspecto lexical básico: achievement,- Estrutura de papéis temáticos: {Paciente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O joelho do menino ralou.
1191,Rançar,Culminação: verbos de mudança de estado,- Aspecto lexical básico: achievement,- Estrutura de papéis temáticos: {Paciente},- Estrutura sintática básica: [SN V] (verbo intransitivo),A manteiga rançou.
1192,Rarefazer,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O calor rarefez o ar/ O químico rarefez o ar intencionalmente.
1193,Rasgar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O tombo rasgou a meia-calça da mulher./ O menino rasgou a meia-calça da mulher para irritá-la.
1194,Raspar,Atividade: verbos de contato mediado por instrumento,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A mãe raspou a perna da adolescente pela primeira vez.
1195,Reabilitar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),Os exercícios de fisioterapia reabilitaram o Marcelo./ Os fisioterapeutas reabilitaram o Marcelo para receberem reconhecimento.
1196,Realçar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A cor do vestido realçou os olhos da menina./ O maquiador realçou os olhos da menina para deixá-la bonita.
1197,Rebocar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O pedreiro rebocou as paredes da casa.
1198,Rebolar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),A dançarina rebolava sempre.
1199,Recalcar,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A amargura da mãe recalcou a criança.
1200,Recear,Estado: verbos psicológicos,- Aspecto lexical básico: estado,"- Estrutura de papéis temáticos: {Experienciador, Objeto Estativo}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),A menina receava a agressividade dos irmãos.
1201,Rechear,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A cozinheira recheou o peru.
1202,Recompensar,Causação: verbos de transferência do tipo locatum,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Alvo}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),O rei recompensou o súdito.
1203,Reconfortar,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O carinho da mãe reconfortava o menino doente.
1204,Reconhecer,Culminação: verbos de mudança de estado mental,- Aspecto lexical básico: achievement,"- Estrutura de papéis temáticos: {Paciente/Experienciador, Objeto Estativo}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O pai reconheceu o erro na criação dos filhos.
1205,Recuar,Culminação: verbos de mudança de lugar,- Aspecto lexical básico: achievement,"- Estrutura de papéis temáticos: {Tema, Locativo}",- Estrutura sintática básica: [SN V SP] (verbo transitivo indireto),As tropas recuaram para o quartel.
1206,Recuperar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A nova formatação do computador recuperou os arquivos perdidos./ O técnico recuperou os arquivos perdidos para encontrar antigos documentos.
1207,Reduzir,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A melhoria das cidades reduziu a população rural./ O governo reduziu a população rural intencionalmente.
1208,Reembolsar,Causação: verbos de transferência do tipo locatum,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Alvo}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),A seguradora reembolsou o cliente.
1209,Reforçar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O conserto reforçou as pernas da mesa./ O marceneiro reforçou as pernas da mesa para firmá-las.
1210,Refrescar,Culminação: verbos de mudança de estado,- Aspecto lexical básico: achievement,- Estrutura de papéis temáticos: {Paciente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O quarto refrescou.
1211,Regar,Atividade: verbos de contato mediado por instrumento,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O jardineiro regou as plantas.
1212,Regenerar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A aplicação da pomada regenerou a pele queimada do menino./ O médico regenerou a pele queimada do menino para curá-lo.
1213,Registrar,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),O policial registrou o fato (no livro de ocorrências).
1214,Regressar,Culminação: verbos de mudança de lugar,- Aspecto lexical básico: achievement,"- Estrutura de papéis temáticos: {Tema, Locativo}",- Estrutura sintática básica: [SN V SP] (verbo transitivo indireto),O soldado regressou para casa.
1215,Regulamentar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O acordo entre o governo e o sindicato regulamentou a profissão de jornalista./ O governo regulamentou a profissão de jornalista para que ela fosse reconhecida.
1216,Regularizar 1,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O acordo entre as partes regularizou a situação do casal./ O juiz regularizou a situação do casal para evitar problemas..
1217,Regularizar 2,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A implementação dos computadores regularizou os horários do trem./ O chefe da estação regularizou os horários do trem para atender à população.
1218,Rejuntar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O pedreiro rejuntou as paredes da casa.
1219,Rejuvenescer,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A estadia no spa rejuvenesceu a mulher./ O esteticista rejuvenesceu a mulher para agradá-la.
1220,Relampejar,Atividade: verbos meteorológicos,- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Locativo},- Estrutura sintática básica: [V SP],Relampejou muito em São Paulo.
1221,Relaxar 1,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O uso relaxou a blusa./ A estilista relaxou a blusa para aumentar seu tamanho.
1222,Relaxar 2,Causação: verbos de mudança de estado não-agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),As piadas do humorista relaxaram a plateia.
1223,Relaxar 3,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),A professora de ioga relaxava todas as manhãs.
1224,Relinchar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O cavalo relinchava demais.
1225,Remar,Atividade: verbos internamente causados com instrumento incorporado,- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O atleta remava vigorosamente.
1226,Remunerar,Causação: verbos de transferência do tipo locatum,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Alvo}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),A empresa remunerou o funcionário.
1227,Renovar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O serviço de paisagismo renovou o jardim./ O jardineiro renovou o jardim para deixá-lo moderno.
1228,Reparar 2,Culminação: verbos de mudança de estado mental,- Aspecto lexical básico: achievement,"- Estrutura de papéis temáticos: {Paciente/Experienciador, Objeto Estativo}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O público reparou a falha do ator.
1229,Repousar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O bebê repousava todas as tardes.
1230,Reprimir,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),As perseguições do ditador reprimiram o povo.
1231,Repudiar,Estado: verbos psicológicos,- Aspecto lexical básico: estado,"- Estrutura de papéis temáticos: {Experienciador, Objeto Estativo}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),A moça repudiou as maneiras do rapaz.
1232,Requebrar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),A sambista requebrava demais.
1233,Requintar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A nova reforma requintou a decoração do restaurante./ O chef requintou a decoração do restaurante para atrair mais clientes.
1234,Resfriar 1,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A temperatura baixa do freezer resfriou as carnes do frigorífico./ O açougueiro resfriou as carnes do frigorífico para que elas durassem mais tempo.
1235,Resfriar 2,Causação: verbos de mudança de estado não-agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O descuido da mãe resfriou o bebê.
1236,Resinar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A madame resinou os móveis da casa.
1237,Resmungar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O jovem resmungava todos os dias.
1238,Resolver,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A mudança de horários resolveu o problema da matrícula./ O diretor resolveu o problema da matrícula com a intenção de acelerar seu processo.
1239,Respeitar,Estado: verbos psicológicos,- Aspecto lexical básico: estado,"- Estrutura de papéis temáticos: {Experienciador, Objeto Estativo}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),O neto respeita a idade da avó.
1240,Ressarcir,Causação: verbos de transferência do tipo locatum,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Alvo}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),A seguradora ressarciu o vendedor.
1241,Ressecar,Culminação: verbos de mudança de estado,- Aspecto lexical básico: achievement,- Estrutura de papéis temáticos: {Paciente},- Estrutura sintática básica: [SN V] (verbo intransitivo),A pele da idosa ressecou.
1242,Retorcer,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O calor da fogueira retorceu o arame./ O menino retorceu o arame intencionalmente.
1243,Retornar,Culminação: verbos de mudança de lugar,- Aspecto lexical básico: achievement,"- Estrutura de papéis temáticos: {Tema, Locativo}",- Estrutura sintática básica: [SN V SP] (verbo transitivo indireto),A tropa retornou da guerra.
1244,Retrair 2,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O jeito espalhafatoso do Cláudio retraiu a Dona Marta.
1245,Reverenciar,Estado: verbos psicológicos,- Aspecto lexical básico: estado,"- Estrutura de papéis temáticos: {Experienciador, Objeto Estativo}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),O povo reverenciava os feitos de JK.
1246,Revigorar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A fisioterapia revigorou o idoso./ O fisioterapeuta revigorou o idoso para ele ter mais mobilidade.
1247,Revitalizar 1,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O uso de adubo revitalizou a roseira./ O jardineiro revitalizou a roseira para ela florir.
1248,Revitalizar 2,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A chegada do filho temporão revitalizou o casal.
1249,Revoltar,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A proibição dos pais revoltou a moça.
1250,Rezar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),A madre rezava todas as noites.
1251,Rir,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O menino ria demais.
1252,Riscar 1,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A queda riscou as lentes dos óculos./ O menino mal educado riscou as lentes dos óculos intencionalmente.
1253,Riscar 2,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O menino riscou o caderno da colega.
1254,Robustecer,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A estação chuvosa robusteceu a plantação./ O fazendeiro robusteceu a plantação para adiantar o dia da colheita.
1255,Roer,Atividade: verbos de contato mediado pelo corpo,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),O cachorro roeu os móveis.
1256,Romper,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A mordida do cachorro rompeu a corda./ O cachorro rompeu a corda para escapar.
1257,Roncar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O homem roncava demais.
1258,Ronronar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O gatinho ronronava demais.
1259,Rotular,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O comerciante rotulou as prateleiras da loja.
1260,Roxear,Culminação: verbos de mudança de estado,- Aspecto lexical básico: achievement,- Estrutura de papéis temáticos: {Paciente},- Estrutura sintática básica: [SN V] (verbo intransitivo),A quaresmeira roxeou.
1261,Ruborizar,Causação: verbos de mudança de estado não-agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A anedota do humorista ruborizou a moça.
1262,Rugir,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O leão rugia demais.
1263,Sacralizar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A bênção do padre sacralizou a união dos noivos./ O padre sacralizou a união dos noivos para legitimá-la.
1264,Sair,Culminação: verbos de mudança de lugar,- Aspecto lexical básico: achievement,"- Estrutura de papéis temáticos: {Tema, Locativo}",- Estrutura sintática básica: [SN V SP] (verbo transitivo indireto),A menina saiu da sala.
1265,Salgar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A cozinheira salgou a comida.
1266,Salientar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A cirurgia salientou os lábios da mulher./ O cirurgião salientou os lábios da mulher para atender às expectativas dela.
1267,Saltar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),A ginasta saltou várias vezes.
1268,Saltitar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),A bailarina saltitava sem parar.
1269,Sambar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),As garotas sambavam todos os dias.
1270,Sapatear,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O bailarino sapateava de hora em hora.
1271,Sarar,Culminação: verbos de mudança de estado,- Aspecto lexical básico: achievement,- Estrutura de papéis temáticos: {Paciente},- Estrutura sintática básica: [SN V] (verbo intransitivo),A paciente sarou.
1272,Saturar 1,Causação: verbos de mudança de estado de posse,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente, (Instrumento)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),A entrada da moça saturou o ambiente com um perfume forte./ A decoradora do salão saturou o ambiente com um perfume forte.
1273,Saturar 2,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),As lamentações da Matilde saturaram o José.
1274,Secar 1,Causação: verbos de mudança de estado não-agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),Os fortes raios do sol de verão secaram a grama do jardim.
